INDICATOR,DOMAIN,Blended Indicator Impact (%)
Number of Accelerators,Supports,7.679865475069948
Startups to total number of companies ratio,Culture,6.966488084960852
Number of coworking spaces,Supports,6.511898765130704
Number of VC investors older than 5 years,Finance,5.191576855927615
Top Universities per country,Human Capital,3.9373468660710618
Number of cumulative unicorns,Culture,3.236161531812096
H-index,Human Capital,3.140952288941843
Number of global startup events,Supports,3.064565289365183
Salary of software engineers,Human Capital,2.805843774676775
Number of contributions by top 1000 GitHub users,Human Capital,2.522210475889041
Number of incubators,Supports,2.3455455548719173
Presence of international influencers (like Tim Cook),Markets,2.2515524140505603
Corporate tax rate,Policy,2.2036377045990436
FDI Confidence index emerging markets rankings,Policy,2.196354154245667
Early-stage Funding Volume,Finance,2.174338289483334
Public Open Data Initiatives,Policy,2.17376056883662
Number of exits above 1B,Culture,2.09150768261511
E-Government Index,Policy,1.9609164586251195
Number of research institutes,Supports,1.658894068419535
English proficiency,Human Capital,1.4855363619715412
Global Innovation Index,Culture,1.4629445760691977
Availability of Alternative Finance,Finance,1.3365412876394775
Financial market development Index,Finance,1.294629946567994
Number of IPOs in the Last 5 Years,Finance,1.2458924824573807
Strength of IP Laws Score,Policy,1.2360261468496274
Quality of Vocational Trainings,Human Capital,1.2246394223335137
Internet freedom,Policy,1.1965443599378007
Internet speed,Supports,1.10043560684478
Fear of failure rate,Culture,1.0803766659906036
Score of data science and tech skills,Human Capital,1.0458300723635299
Number of Investors/VCs,Finance,1.0292413018626732
Regulatory quality,Policy,0.9985620736722032
Percentage of Startups Securing Series A or Beyond,Finance,0.9413634699503362
Growth Rates in Cleantech,Markets,0.9019295865336795
Corruption index / Rule of law,Policy,0.8841822217663361
Total Government Funding allocated to early-stage Startups and Scale-ups,Markets,0.8791193564756093
Government effectiveness,Policy,0.8551684138271226
Financial Literacy,Human Capital,0.8528554410067261
Youth Labour Participation rate,Human Capital,0.8017499930246058
Unemployment Rate,Human Capital,0.7927718314043892
Growth Rates in Tech,Markets,0.7863571902241726
"Availability of tech services (fintech services, crypto)",Supports,0.7773547031352424
Political transformation index,Policy,0.7345041324920524
Cost of internet per month/USD,Supports,0.7278605056206823
"Cost of Internet (60 Mbps or more, unlimited data cable/adsl) utlities monthly in USD",Supports,0.7278605056206823
Migration management,Policy,0.6981979418383055
% of Startups Exiting via Acquisition or IPO,Culture,0.6820543693224821
Growth Rates in Fintech,Markets,0.6505447460385854
IP Protection Score,Policy,0.6068943717552185
Ease of getting credit,Finance,0.594578264405092
Tax wedge,Policy,0.5788081507199718
Government R&D Expenditure % GDP,Policy,0.5739993970419585
Employee Engagement,Human Capital,0.5635395593423285
Number of STEM graduates,Human Capital,0.5555504240676616
Number of exits above 50M,Culture,0.5273086242457117
Ease of starting a business index,Policy,0.4924654218366349
Growth Rates in Biotech,Markets,0.47782060531168485
Ratio of Series C to Series A Startups,Culture,0.40419080308865124
Early-Stage Funding Growth,Finance,0.35618371376437785
Number of Corporate Venture Capital (CVC) Funds investing in local Startups,Markets,0.34807304743272444
Diversity and Inclusion Index-wage inequality,Human Capital,0.2576139621917741
Perceived opportunities rate,Culture,0.23597074754642405
Percentage of enrollment in secondary education,Human Capital,0.2043242192775773
Female/Male TEA Ratio,Culture,0.17739716150899054
Entrepreneurship as a good career choice rate,Culture,0.17342849105551722
Human Development Index,Human Capital,0.17044075038280515
Ratio of Series A to seed,Culture,0.15692126859153718
